question,answer
데이터 분석에서 결측치 처리 방법은 무엇인가요?,"결측치가 있는 행을 제거하거나 평균값, 중앙값 등으로 대체하는 방법을 사용합니다. 이때 데이터의 성격과 분포를 고려하여 적절한 방법을 선택해야 합니다."
데이터 스케일링이 왜 필요한가요?,"다양한 변수의 값 범위가 다를 경우, 모델 학습에 영향을 줄 수 있습니다. 데이터 스케일링을 통해 변수의 값 범위를 일정하게 만들어 모델의 성능을 향상시킬 수 있습니다."
정확도(Accuracy) 외에 모델 성능을 평가하는 지표는 무엇이 있나요?,"정밀도(Precision), 재현율(Recall), F1-score, ROC-AUC 등이 있습니다. 이러한 지표를 통해 모델이 어떤 측면에서 성능을 발휘하는지 평가할 수 있습니다."
과적합(Overfitting)이란 무엇인가요?,과적합은 모델이 학습 데이터에 너무 맞춰져 새로운 데이터에 대한 일반화 성능이 떨어지는 현상을 말합니다. Regularization이나 교차 검증을 통해 과적합을 방지할 수 있습니다.
머신러닝과 딥러닝의 차이는 무엇인가요?,"머신러닝은 주어진 데이터로부터 패턴을 학습하여 예측이나 분류를 수행하는 반면, 딥러닝은 심층 신경망을 이용하여 높은 수준의 추상화를 통해 복잡한 패턴을 학습합니다."
군집화(Clustering)와 분류(Classification)의 차이는 무엇인가요?,"군집화는 비지도 학습으로 데이터를 비슷한 특성을 가진 그룹으로 묶는 것을 의미하며, 분류는 지도 학습으로 미리 정의된 클래스로 데이터를 분류하는 것을 의미합니다."
데이터 정제(Data Cleaning)를 왜 해야 하나요?,"데이터에는 잘못된 값, 이상치, 노이즈 등이 포함될 수 있으며, 이를 제거하고 정제함으로써 모델의 성능을 향상시킬 수 있습니다."
ROC 곡선(ROC Curve)이란 무엇인가요?,"ROC 곡선은 이진 분류 모델의 분류 성능을 나타내는 그래프로, 민감도와 특이도 사이의 trade-off를 보여줍니다."
데이터 임베딩(Data Embedding)이란 무엇인가요?,"고차원의 데이터를 저차원 공간으로 매핑하는 기술로, 텍스트나 이미지와 같은 비정형 데이터를 수치화하여 다루기 쉽게 만듭니다."
데이터 시각화(Data Visualization)의 중요성은 무엇인가요?,"데이터를 시각적으로 표현하면 복잡한 패턴을 쉽게 파악할 수 있으며, 인사이트를 발견하고 의사소통하는 데 도움을 줍니다."
협업 필터링(Collaborative Filtering)이란 무엇인가요?,사용자들의 구매 이력이나 평가를 분석하여 유사한 취향을 가진 사용자들끼리 상품을 추천하는 추천 시스템 기술입니다.
데이터 정규화(Normalization)와 표준화(Standardization)의 차이는 무엇인가요?,"데이터 정규화는 데이터의 범위를 [0, 1]로 변환하는 것이고, 데이터 표준화는 평균이 0이고 표준편차가 1인 분포로 변환하는 것을 의미합니다."
엔트로피(Entropy)란 무엇인가요?,"엔트로피는 불확실성의 정도를 측정하는 지표로, 정보 이론에서 높은 엔트로피는 더 많은 정보가 필요함을 나타냅니다."
차원 축소(Dimensionality Reduction) 기법으로 널리 사용되는 방법은 무엇인가요?,"PCA(Principal Component Analysis), t-SNE(t-distributed Stochastic Neighbor Embedding), LDA(Linear Discriminant Analysis) 등이 널리 사용되는 방법입니다."
이상치(Outlier)를 탐지하는 방법에는 어떤 것들이 있나요?,"Z-score, IQR(Interquartile Range), DBSCAN(Density-Based Spatial Clustering of Applications with Noise) 등의 방법을 사용하여 이상치를 탐지할 수 있습니다."
교차 검증(Cross-Validation)이란 무엇인가요?,모델의 일반화 성능을 평가하기 위해 데이터를 여러 개의 fold로 나누어 학습과 검증을 반복하는 과정을 말합니다.
앙상블 학습(Ensemble Learning)이란 무엇인가요?,"여러 개의 모델을 결합하여 하나의 강력한 모델을 만드는 기법으로, 배깅(Bagging), 부스팅(Boosting), 랜덤 포레스트(Random Forest) 등이 있습니다."
클러스터링(Clustering)에서 군집의 수를 결정하는 방법은 무엇인가요?,"Elbow Method, Silhouette Score, Gap Statistic 등의 방법을 사용하여 적절한 군집 수를 결정할 수 있습니다."
확률적 경사 하강법(Stochastic Gradient Descent)이란 무엇인가요?,"경사 하강법의 한 종류로, 각 데이터 포인트에 대해 경사를 계산하여 모델을 업데이트하며 최적의 파라미터를 찾는 방법입니다."
데이터 라벨링(Labeling)을 자동화하기 위해 사용되는 기술은 무엇인가요?,"준지도 학습(Semi-Supervised Learning), 전이 학습(Transfer Learning), Active Learning 등의 기술을 사용하여 데이터 라벨링을 자동화할 수 있습니다."
