question,answer
머신러닝과 딥러닝의 차이는 무엇인가요?,"머신러닝은 규칙을 프로그래밍하는 것이 아니라 데이터로부터 학습하여 모델을 만드는 반면, 딥러닝은 인공신경망을 이용해 복잡한 패턴을 학습하는 것입니다."
과적합(Overfitting)이 무엇인가요? 어떻게 방지할 수 있을까요?,"과적합은 모델이 학습 데이터에 너무 잘 맞아 실제 데이터에서 성능이 떨어지는 현상입니다. 이를 방지하기 위해 교차 검증, 데이터 확장, 정규화 등을 사용할 수 있습니다."
군집화와 분류의 차이점은 무엇인가요?,"군집화는 비지도 학습으로 데이터를 비슷한 특성을 기준으로 그룹화 하는 반면, 분류는 지도 학습으로 주어진 데이터에 미리 정의된 클래스 레이블을 할당하는 것입니다."
"오버샘플링과 언더샘플링은 무엇이고, 언제 사용하나요?","오버샘플링은 소수 클래스의 데이터를 증가시켜 데이터 불균형을 해소하는 방법이고, 언더샘플링은 다수 클래스의 데이터를 줄여 균형을 맞추는 방법입니다. 데이터 불균형 문제가 심각할 때 사용합니다."
활성화 함수(Activation Function)의 역할은 무엇인가요? 주로 어떤 함수를 사용하나요?,"활성화 함수는 신경망의 출력을 결정짓는 함수로, 비선형성을 추가해 신경망이 비선형 문제를 해결할 수 있도록 합니다. 주로 ReLU(Rectified Linear Unit) 함수가 많이 사용됩니다."
"과소적합(Underfitting)이 무엇이고, 어떻게 해결할 수 있을까요?","과소적합은 모델이 학습 데이터에도 잘 맞지 않는 경우를 말하며, 모델의 복잡성을 높이거나 특성을 추가하여 해결할 수 있습니다."
"교차 검증(Cross Validation)은 무엇이고, 왜 사용하나요?","교차 검증은 데이터를 여러 개의 그룹으로 나누어 모델을 여러 번 학습시켜 성능을 평가하는 방법으로, 모델의 일반화 성능을 더 정확히 평가하기 위해 사용됩니다."
정규화(Normalization)와 표준화(Standardization)의 차이는 무엇인가요?,"정규화는 데이터의 범위를 0과 1 사이로 조정하는 것이고, 표준화는 평균이 0이고 표준편차가 1인 분포로 변환하는 것입니다."
"랜덤 포레스트(Random Forest)는 무엇이고, 어떤 장점을 가지고 있나요?","랜덤 포레스트는 의사결정트리를 여러 개 결합한 앙상블 모델로, 과적합을 방지하고 다양한 데이터에 대해 높은 성능을 보입니다."
하이퍼파라미터(Hyperparameter)와 파라미터(Parameter)의 차이는 무엇인가요?,"하이퍼파라미터는 모델 학습 전에 설정되는 값으로, 모델의 학습 방식이나 성능에 영향을 주는 반면, 파라미터는 모델이 학습 과정에서 찾아야 하는 값입니다."
