question,answer
데이터 전처리 과정에서 어떤 작업을 주로 수행하나요?,"결측치 처리, 이상치 제거, 데이터 변환 등 다양한 작업을 수행합니다."
"데이터를 학습, 검증, 테스트셋으로 어떻게 나누는 것이 좋은 방법인가요?","일반적으로 7:2:1의 비율로 학습, 검증, 테스트셋을 나누는 것이 좋습니다."
과적합(Overfitting)이란 무엇인가요? 이를 방지하기 위한 방법은?,"모델이 학습 데이터에 너무 맞춰져 일반화 성능이 떨어지는 현상을 말하며, 규제화 기법이나 데이터 확장 방법을 사용하여 방지할 수 있습니다."
군집화(Clustering)와 분류(Classification)의 차이는 무엇인가요?,"군집화는 비지도 학습으로 데이터를 비슷한 특성끼리 그룹화 하는 것이고, 분류는 지도 학습으로 미리 정의된 클래스로 데이터를 분류하는 것입니다."
데이터 불균형 문제를 해결하기 위한 방법은 무엇이 있나요?,"과소표집, 과대표집, 클래스 가중치 부여 등의 방법을 사용하여 데이터 불균형 문제를 해결할 수 있습니다."
모델 성능을 평가하는 지표로는 어떤 것들이 있나요?,"정확도, 정밀도, 재현율, F1-score, ROC-AUC 등이 있습니다."
랜덤 포레스트(Random Forest)는 무엇인가요? 장단점은 무엇인가요?,"여러 결정 트리를 이용한 앙상블 학습 모델로, 과적합을 방지하고 강력한 예측 성능을 보입니다. 단점은 해석이 어렵고 학습 시간이 길다는 것입니다."
과정을 통해 어떻게 데이터셋을 준비하고 탐색하는지 설명해주세요.,"데이터 불러오기, 결측치 확인, 이상치 처리, 시각화를 통한 데이터 탐색을 순차적으로 수행합니다."
모델을 평가할 때 왜 교차 검증을 사용해야 하나요?,"교차 검증을 통해 일반화 성능을 더 정확히 평가할 수 있고, 과적합을 방지할 수 있기 때문에 사용합니다."
파이썬에서 주로 사용하는 데이터 분석 라이브러리는 무엇이 있나요?,"Pandas, NumPy, Matplotlib, Seaborn, Scikit-learn 등이 주로 사용되는 데이터 분석 라이브러리입니다."
머신러닝에서 지도 학습과 비지도 학습의 차이는 무엇인가요?,"지도 학습은 레이블이 있는 데이터를 이용하여 모델을 학습시키는 것이고, 비지도 학습은 레이블이 없는 데이터로 학습하는 것입니다."
모델의 성능을 향상시키기 위한 방법으로는 무엇이 있나요?,"하이퍼파라미터 튜닝, 특성 엔지니어링, 앙상블 학습 등의 방법을 사용하여 모델의 성능을 향상시킬 수 있습니다."
회귀(Regression) 모델에서 잔차(residual)란 무엇인가요?,"실제 값과 모델의 예측 값 사이의 차이를 말하며, 이 잔차를 최소화하는 것이 회귀 모델의 목표입니다."
K-평균 군집화(K-Means Clustering) 알고리즘은 어떻게 동작하나요?,"랜덤으로 선택한 중심점을 기준으로 데이터를 가장 가까운 군집에 할당하고, 군집의 중심을 다시 계산하여 업데이트합니다. 이 과정을 반복하여 수렴할 때까지 군집을 형성합니다."
모델의 과소적합(Underfitting)이란 무엇인가요? 이를 해결하기 위한 방법은?,"모델이 학습 데이터를 충분히 학습하지 못한 상태를 말하며, 모델의 복잡성을 높이거나 학습 데이터를 더 추가하는 등의 방법을 사용하여 해결할 수 있습니다."
주성분 분석(PCA)은 무엇이고 어떻게 동작하나요?,"고차원 데이터를 저차원으로 차원 축소하는 기법으로, 데이터의 분산을 최대로 보존하는 주요 성분을 찾아 변환합니다."
모델의 복잡도가 높을 때 발생할 수 있는 문제는 무엇인가요?,"과적합 문제가 발생할 수 있으며, 이는 모델이 학습 데이터에 너무 맞춰져 일반화 성능이 떨어지는 현상을 말합니다."
SVM(Support Vector Machine)은 무엇이고 어떤 원리로 동작하나요?,"간단한 초평면으로 클래스를 분리하는 최적의 초평면을 찾는 알고리즘으로, 서포트 벡터를 기준으로 초평면을 찾습니다."
데이터 스케일링이 왜 필요한가요? 어떤 방법들이 있나요?,"다양한 스케일의 데이터를 비교적 공정하게 비교하기 위해 필요하며, Min-Max 스케일링, 표준화 등의 방법이 있습니다."
과적합을 방지하기 위한 방법으로는 어떤 것이 있나요?,"교차 검증, 조기 종료, 규제화 기법 등을 사용하여 과적합을 방지할 수 있습니다."
랜덤 포레스트와 그래디언트 부스팅의 차이는 무엇인가요?,"랜덤 포레스트는 여러 결정 트리를 병렬로 학습하는 알고리즘인 반면, 그래디언트 부스팅은 이전 트리의 오차를 보완하는 방식으로 순차적으로 학습하는 알고리즘입니다."
과대적합(Overfitting)을 감소시키기 위한 방법은 무엇이 있나요?,데이터의 양을 늘리거나 모델의 복잡도를 줄이는 등의 방법을 사용하여 과대적합을 감소시킬 수 있습니다.
딥러닝과 머신러닝의 차이는 무엇인가요?,"딥러닝은 심층 신경망을 사용하는 머신러닝의 한 분야로, 머신러닝은 주어진 데이터로부터 학습하여 예측하는 방법을 말합니다."
이상치(Outlier)를 탐지하기 위한 방법은 무엇이 있나요?,"통계적 방법, 시각화, 클러스터링, 기계 학습 모델 등을 사용하여 이상치를 탐지할 수 있습니다."
로지스틱 회귀(Logistic Regression)는 무엇인가요? 선형 회귀와 어떤 차이가 있나요?,"이진 분류 문제를 위한 모델로, 선형 회귀는 연속적인 종속 변수를 예측하는 반면, 로지스틱 회귀는 이산적인 결과를 예측합니다."
앙상블 학습(Ensemble Learning)이란 무엇인가요? 왜 사용하나요?,"여러 개별 모델을 결합하여 하나의 강력한 모델을 만드는 학습 방법으로, 단일 모델보다 더 좋은 성능을 보이기 때문에 사용합니다."
교차 검증(Cross-Validation)이란 무엇이고 왜 사용하나요?,"모델의 일반화 성능을 더 정확히 평가하기 위해 사용되며, 데이터를 여러 개의 부분 집합으로 나누어 검증하는 방법입니다."
과소표집(Under-sampling)과 과대표집(Over-sampling)의 차이는 무엇인가요?,"과소표집은 다수 클래스의 데이터를 제거하는 방식으로, 과대표집은 소수 클래스의 데이터를 증가시키는 방식입니다."
데이터를 시각화하는 이유는 무엇인가요? 어떤 방법들이 있나요?,"데이터의 패턴을 파악하고 이해하기 위해 사용되며, 산점도, 히스토그램, 히트맵 등의 방법을 사용하여 시각화할 수 있습니다."
신경망 모델을 학습할 때 발생할 수 있는 문제는 무엇이 있나요?,"과적합, 기울기 소실, 폭주 등의 문제가 발생할 수 있으며, 이를 해결하기 위해 드롭아웃, 가중치 초기화, 배치 정규화 등의 방법을 사용합니다."
이웃 기반 학습(Instance-based Learning)이란 무엇인가요? K-최근접 이웃 알고리즘은 어떻게 동작하나요?,"이웃들의 정보를 이용하여 예측을 수행하는 학습 방법으로, K-최근접 이웃 알고리즘은 새로운 데이터 포인트를 주변 K개의 이웃들 중 다수 클래스로 분류하는 방식으로 동작합니다."
클러스터링 알고리즘에서 군집의 개수를 어떻게 결정하나요?,"실루엣 스코어, 엘보우 메서드, 실루엣 분석 등의 방법을 사용하여 최적의 군집 개수를 결정할 수 있습니다."
모델의 성능을 향상시키기 위해 어떤 하이퍼파라미터를 조정해볼 수 있나요?,"학습률, 은닉층의 수, 은닉층의 노드 수, 규제화 강도 등의 하이퍼파라미터를 조정하여 모델의 성능을 향상시킬 수 있습니다."
데이터셋의 클래스 불균형 문제를 해결하기 위한 방법으로는 어떤 것이 있나요?,"클래스 가중치 부여, 오버샘플링, 언더샘플링, SMOTE 등의 방법을 사용하여 클래스 불균형 문제를 해결할 수 있습니다."
모델의 성능을 비교할 때 사용되는 ROC 곡선과 PR 곡선의 차이는 무엇인가요?,"ROC 곡선은 민감도와 특이도를 나타내는 반면, PR 곡선은 정밀도와 재현율을 나타냅니다."
