question,answer
통계학에서 중심극한정리란 무엇인가요?,"중심극한정리는 모집단이 어떤 분포든 간에 표본의 크기가 충분히 크다면, 표본평균의 분포가 정규분포에 가까워지는 현상을 말합니다."
통계학에서 표준편차와 분산의 차이는 무엇인가요?,"표준편차는 데이터의 산포도를 나타내는 지표로, 분산의 제곱근입니다. 분산은 데이터와 평균의 차이를 제곱한 값들의 평균입니다."
통계학에서 상관계수란 무엇인가요?,"상관계수는 두 변수간의 선형적 관계의 강도와 방향을 나타내는 지표로, -1에서 1 사이의 값을 가집니다. 0에 가까울수록 무상관, 1이나 -1에 가까울수록 강한 상관관계를 가집니다."
통계학에서 가설검정이 무엇인가요?,"가설검정은 주어진 데이터를 사용하여 모집단에 대한 통계적인 가설을 검증하는 과정을 말합니다. 주로 귀무가설과 대립가설을 설정하고, 표본을 통해 귀무가설을 기각할지 채택할지 결정합니다."
통계학에서 유의수준과 p-value의 차이는 무엇인가요?,"유의수준은 가설을 기각하는 기준이 되는 값으로, 보통 0.05로 설정됩니다. p-value는 주어진 데이터로부터 계산된 통계량이 귀무가설을 지지하는 정도를 나타내는 값으로, 유의수준보다 작을수록 귀무가설을 기각합니다."
통계학에서 t-test와 ANOVA의 차이는 무엇인가요?,"t-test는 두 집단 간 평균의 차이를 비교하는 검정 방법이고, ANOVA는 세 개 이상의 집단 간 평균의 차이를 비교하는 분석 방법입니다."
통계학에서 공분산과 상관계수의 차이는 무엇인가요?,"공분산은 두 변수간의 관계를 나타내는 지표로, 단위에 영향을 받습니다. 상관계수는 공분산을 각 변수의 표준편차로 나눈 값으로, 단위에 영향을 받지 않습니다."
통계학에서 이상치(Outlier)를 탐지하는 방법은 무엇이 있나요?,"이상치를 탐지하는 방법으로는 IQR(Interquartile Range) 방법, Z-score 방법, DBSCAN 알고리즘 등이 있습니다. 이상치는 데이터 분석 결과에 영향을 주는 요소이므로 탐지하고 처리하는 것이 중요합니다."
통계학에서 확률변수와 확률분포의 관계는 무엇인가요?,"확률변수는 특정 확률분포에 따라 값을 가질 수 있는 변수를 의미하며, 확률분포는 확률변수가 어떤 값을 가질 확률을 나타내는 함수입니다."
통계학에서 모집단과 표본의 차이는 무엇인가요?,"모집단은 조사 대상 전체를 의미하고, 표본은 모집단에서 추출한 일부를 의미합니다. 통계적 분석에서는 모집단을 대표할 수 있는 표본을 추출하여 분석합니다."
"통계학에서 평균, 중앙값, 최빈값의 차이는 무엇인가요?","평균은 데이터의 총합을 개수로 나눈 값, 중앙값은 데이터를 크기 순으로 나열했을 때 가운데 값, 최빈값은 가장 많이 나타나는 값입니다."
통계학에서 카이제곱 검정(Chi-square test)은 무엇인가요?,"카이제곱 검정은 독립성 검정이나 적합도 검정 등 다양한 목적으로 사용되는 검정 방법으로, 관찰값과 기대값 간의 차이를 검정하여 변수 간의 관계를 분석합니다."
통계학에서 정규분포와 t-분포의 차이는 무엇인가요?,"정규분포는 평균과 분산으로 모양이 결정되는 이론적인 분포이고, t-분포는 표본의 크기에 따라 모양이 변하는 분포입니다."
통계학에서 표준화(Standardization)와 정규화(Normalization)의 차이는 무엇인가요?,"표준화는 데이터의 평균을 0, 표준편차를 1로 만들어 데이터의 단위를 제거하는 과정이고, 정규화는 데이터를 0과 1 사이의 범위로 변환하여 상대적 크기를 비교하는 과정입니다."
통계학에서 ROC 곡선(Receiver Operating Characteristic curve)은 무엇인가요?,"ROC 곡선은 이진 분류 모델의 분류 성능을 평가하는 지표로, 민감도와 특이도의 관계를 시각적으로 나타낸 그래프입니다. 면적이 1에 가까울수록 성능이 우수합니다."
통계학에서 잔차(residual)란 무엇인가요?,"잔차는 실제 관측값과 모델에 의한 예측값 간의 차이를 의미하며, 회귀분석에서 모델의 적합성을 평가하는 중요한 지표입니다."
통계학에서 곡선적합(Curve fitting)이란 무엇인가요?,"곡선적합은 주어진 데이터에 가장 적합한 함수 모델을 찾는 과정으로, 회귀분석이나 기계학습에서 주로 사용됩니다."
통계학에서 다중공선성(Multicollinearity)이란 무엇인가요?,다중공선성은 독립변수들 간에 강한 상관관계가 있어 회귀분석에 부정적인 영향을 미치는 현상을 말합니다. VIF 등의 지표로 확인할 수 있습니다.
통계학에서 A/B 테스트(A/B Testing)는 무엇인가요?,A/B 테스트는 두 가지 이상의 처리나 조건을 비교하여 어떤 것이 더 효과적인지를 판단하는 실험적인 방법입니다. 온라인 마케팅이나 제품 개발 등에서 활용됩니다.
통계학에서 확률론적 그래프 모형(Stochastic Graphical Model)이란 무엇인가요?,확률론적 그래프 모형은 변수 간의 의존 관계를 그래프로 나타내어 확률 분포를 모델링하는 방법입니다. 베이지안 네트워크 등이 대표적인 예시입니다.
통계학에서 시계열 분석(Time Series Analysis)은 무엇인가요?,"시계열 분석은 일정 시간 간격으로 관측된 데이터의 패턴을 분석하는 방법으로, 추세 분석, 계절성 분석, 예측 등에 활용됩니다."
통계학에서 베이즈 통계학(Bayesian Statistics)은 무엇인가요?,"베이즈 통계학은 사전 정보를 사용하여 사후 확률을 갱신하는 방법을 기반으로 하는 통계학의 한 분야로, 불확실성을 확률로 표현합니다."
통계학에서 군집 분석(Clustering Analysis)은 무엇인가요?,"군집 분석은 데이터를 유사한 특성을 가진 그룹으로 나누는 비지도학습 방법으로, K-means, DBSCAN 등의 알고리즘이 사용됩니다."
통계학에서 과적합(Overfitting)이란 무엇인가요?,과적합은 모델이 학습 데이터에 너무 적합하여 새로운 데이터에 대한 일반화 성능이 떨어지는 현상을 말합니다. 교차 검증 등으로 방지할 수 있습니다.
통계학에서 분류(Classification)와 회귀(Regression)의 차이는 무엇인가요?,"분류는 범주형 데이터를 예측하는 문제를 다루는 지도학습 방법이고, 회귀는 연속형 데이터를 예측하는 문제를 다루는 지도학습 방법입니다."
